filename,added,removed,churn
'WtrStationHandledUser.hbm.xml','0','0',''0'
'ibms-cache.xml','1','0',''1'
'IBMS-Phase4C-1.sql','0','0',''0'
'IBMS-CC-FF.sql','0','0',''0'
'AirlineCommunicationConfigParser.java','37','-10',''27'
'DelayedBagService.java','3','0',''3'
'WtrStationHandledUser.java','0','0',''0'
'WtrStationCodeShare.hbm.xml','0','0',''0'
'ActionAreaHeaderFormatter.java','3','0',''3'
'IBMSTest.java','6','-2',''4'
'BagServiceCommonMethodsImpl.java','3','-3',''0'
'WtrStatusService.java','0','0',''0'
'IBMSException.java','7','-1',''6'
'WtrUserCodeShare.hbm.xml','0','0',''0'
'WtrStationHandledUserId.java','0','0',''0'
'WtrStationCodeShareId.java','0','0',''0'
'TypeARulesRepository.java','3','-1',''2'
'DelayedBagServiceImpl.java','638','-2',''636'
'IBMSController.java','10','-7',''3'
'ActionAreaFormatter.java','24','0',''24'
'WTRMiscellaneousServiceImpl.java','14','0',''14'
'WtrContentDescription.java','0','0',''0'
'WtrUserCodeShareId.java','0','0',''0'
'elementTransform.xml','0','0',''0'
'IBMSContext.xml','6','0',''6'
'CDDTransformation.java','0','0',''0'
'WtrStatusServiceImpl.java','0','0',''0'
'WTRRepositoryServiceImpl.java','21','0',''21'
'WtrUserCcLz.java','0','0',''0'
'WtrCountryName.java','21','-1',''20'
'IBMS-Scripts.sql','8','-5',''3'
'transport.xml','2','0',''2'
'WTRRepositoryService.java','5','0',''5'
'HelpUtilityService.java','0','0',''0'
'WtrUserCodeShare.java','0','0',''0'
'WtrUserCcLz.hbm.xml','0','0',''0'
'WTRCustomerRepositoryImpl.java','102','0',''102'
'StationConfigurationServiceImpl.java','1','0',''1'
'WTRMiscellaneousService.java','7','0',''7'
'WtrUserCcLzId.java','0','0',''0'
'WtrStationCodeShare.java','0','0',''0'
'WtrHelpCDD.hbm.xml','0','0',''0'
'transformation.xml','2','0',''2'
'TypeAConfig.xml','8','0',''8'
'HelpUtilityServiceImpl.java','0','0',''0'
'WTRCustomerRepository.java','8','-1',''7'
